"","Year","YS","YSP","Site","Point","Num_Trees","Dom_spp","Mean_DBH","Median_DBH","Max_DBH","Spp_maxDBH","Mean_decay","Num_live","Num_snags","Median_health","Num_2BI_Pl","Num_2BI_FD","Num_2BI_Sx","Perc_At","eff_HY","dist_to_cut","edge_near","cut","Spp","N_flg","NEST","type"
"9044",1999,"1999_CH98","1999_CH98_7620","CH98","7620",41,"PL",22.88780488,23,36.1,"PL",1.853658537,30,11,"BI",3,0,0,0.365853659,1985,1566.3749915404,14,0,"TRES","U","99125_1999","selected"
"9045",1999,"1999_SDOFF","1999_SDOFF_7157","SDOFF","7157",22,"AT",29.35909091,29.2,42.1,"AT",2.727272727,9,13,"BI",0,0,0,0.954545455,1985,901.237061741924,5,0,"RNSA","U","99126_1999","selected"
"9046",1999,"1999_CH98","1999_CH98_7620","CH98","7620",41,"PL",22.88780488,23,36.1,"PL",1.853658537,30,11,"BI",3,0,0,0.365853659,1985,1566.3749915404,14,0,"RNSA","U","99127_1999","selected"
"9047",1999,"1999_SW","1999_SW_7402","SW","7402",2,"AT",40.35,40.35,43,"AT",1.5,2,0,"BI",0,0,0,0.5,1986,2602.47074244566,420,0,"HAWO","U","99128_1999","selected"
"9048",1999,"1999_CH98","1999_CH98_7412","CH98","7412",42,"PL",22.54047619,22.65,36.9,"PL",1.571428571,34,8,"HE",2,0,0,0.357142857,1985,1582.35540295356,10,0,"RBNU","U","99129_1999","selected"
"9049",1999,"1999_SC","1999_SC_7176","SC","7176",10,"AT",28.23,29.8,31.7,"AT",3.2,4,6,"BI",0,0,0,1,1988,1229.82466769793,3.5,0,"NOFL","0","99130_1999","selected"
"9050",1999,"1999_YYOFF","1999_YYOFF_7644","YYOFF","7644",16,"AT",34.525,37.75,53.9,"AT",3,6,10,"BI",0,0,0,0.8125,1985,1335.57457507061,15,0,"AMKE","0","99131_1999","selected"
"9051",1999,"1999_SD","1999_SD_7130","SD","7130",69,"AT",22.43333333,23.4,34,"AT",2.391304348,34,35,"BI",0,0,0,0.985507246,1985,266.250707315267,15,0,"MOCH","U","99133_1999","selected"
"9052",1999,"1999_SD","1999_SD_7130","SD","7130",69,"AT",22.43333333,23.4,34,"AT",2.391304348,34,35,"BI",0,0,0,0.985507246,1985,266.250707315267,15,0,"DOWO","U","99134_1999","selected"
"9053",1999,"1999_TO","1999_TO_7657","TO","7657",27,"FD",25.78888889,22.2,105.9,"FD",1.444444444,26,1,"HE",0,1,0,0.296296296,1985,1933.67527335579,1933.67527335579,0,"RBNU","6","99135_1999","selected"
